model,trial_number,hits@1,hits@3,hits@5,hits@10
TransH,0,0.0132275132275132,0.0952380952380952,0.1587301587301587,0.167989417989418
TransH,1,0.0,0.0026455026455026,0.0066137566137566,0.0079365079365079
TransH,2,0.0039682539682539,0.0859788359788359,0.1111111111111111,0.1296296296296296
TransH,3,0.0661375661375661,0.1428571428571428,0.1534391534391534,0.1732804232804232
TransH,4,0.0,0.0013227513227513,0.0039682539682539,0.0105820105820105
TransH,5,0.0251322751322751,0.1031746031746031,0.1547619047619047,0.167989417989418
TransH,6,0.0687830687830687,0.1441798941798941,0.164021164021164,0.1693121693121693
TransH,7,0.0304232804232804,0.1005291005291005,0.1534391534391534,0.164021164021164
TransH,8,0.0304232804232804,0.0925925925925925,0.1481481481481481,0.1719576719576719
TransH,9,0.0661375661375661,0.1468253968253968,0.1693121693121693,0.1732804232804232
TransH,10,0.0608465608465608,0.1322751322751322,0.156084656084656,0.1666666666666666
TransH,11,0.0687830687830687,0.1164021164021164,0.1521164021164021,0.1613756613756613
TransH,12,0.0,0.0542328042328042,0.0568783068783068,0.0701058201058201
TransH,13,0.0608465608465608,0.0859788359788359,0.1005291005291005,0.1177248677248677
TransH,14,0.0621693121693121,0.1349206349206349,0.1587301587301587,0.1693121693121693
TransH,15,0.0,0.0661375661375661,0.0846560846560846,0.0978835978835978
TransH,16,0.0687830687830687,0.1441798941798941,0.1613756613756613,0.1706349206349206
TransH,17,0.0634920634920634,0.0978835978835978,0.1044973544973544,0.1349206349206349
TransH,18,0.0648148148148148,0.1362433862433862,0.1626984126984127,0.1653439153439153
TransH,19,0.0105820105820105,0.0357142857142857,0.0383597883597883,0.0436507936507936
TransH,20,0.0648148148148148,0.1428571428571428,0.1587301587301587,0.1719576719576719
TransH,21,0.0714285714285714,0.1494708994708994,0.1653439153439153,0.1746031746031746
TransH,22,0.0621693121693121,0.1018518518518518,0.1402116402116402,0.156084656084656
TransH,23,0.0542328042328042,0.1071428571428571,0.1534391534391534,0.1693121693121693
TransH,24,0.0,0.0,0.0013227513227513,0.0052910052910052
TransH,25,0.0661375661375661,0.0661375661375661,0.0661375661375661,0.0701058201058201
TransH,26,0.0132275132275132,0.0224867724867724,0.0264550264550264,0.0423280423280423
TransH,27,0.0529100529100529,0.0767195767195767,0.1005291005291005,0.1216931216931216
TransH,28,0.0,0.0039682539682539,0.0052910052910052,0.0171957671957671
TransH,29,0.0661375661375661,0.1402116402116402,0.16005291005291,0.1719576719576719
